Label,Area, Normalsimilarity, NormalZ, DiagonalXY, Height, Coplanarity, Proximity, Connections, Wallinlier, DvBottom, DvTop, ColAbove, ColBelow,ColFarAbove,Vbot,Vtop,Raytrace
Walls,0.01,0.59,0,0.36,2,10,0,4,0,1.15,0.24,2,2,2,10,10,10
Walls,0.01,0.04,0.01,1.8,1.9,0.05,0.03,3,0,1.11,0.41,2,2,2,10,10,10
Clutter,0.01,0.39,0.06,0.45,1.7,0.67,0.4,0,0,1.2,0.49,2,2,2,10,10,10
Clutter,0.02,0.02,0.01,0.9,2.1,0.41,0,3,0,1.12,0.23,2,2,2,10,10,10
Clutter,0.01,0.28,0.28,1.12,0.7,0.43,0.31,2,0,0.3,0.01,2,2,2,10,10,10
Clutter,0.01,0.09,0.02,0.51,1.8,0.8,0.59,3,0,1.16,0.47,2,2,2,10,10,10
Clutter,0.02,0.19,0.18,1.12,1.4,0.12,0.05,2,0,1.12,0.3,2,2,2,10,10,10
Clutter,0.02,0.04,0.03,1,1.2,0.34,0.21,2,0,2.22,0.52,2,2,2,10,10,10
Walls,0.01,0.44,0.9,2.04,0.2,0.04,0,1,1,10,10,0,0,0,0.27,0.11,0.43
Clutter,0.01,0.1,0.08,1.2,0.9,0.67,0.69,1,0,1.96,0.6,2,2,2,10,10,10
Clutter,0.02,0.01,0,0.5,2.3,0.26,0.26,2,0,1.11,0.04,2,2,2,10,10,10
Clutter,0.01,0.05,0.02,0.5,1,0.27,0.43,2,0,2.23,0.17,2,2,2,10,10,10
Clutter,0.01,0.04,0.04,0.9,0.8,0.82,0.88,2,0,1.16,0.36,2,2,2,10,10,10
Clutter,0.01,0.13,0.01,0.51,1.1,0.49,0.19,4,0,1.12,0.14,2,2,2,10,10,10
Clutter,0.03,0.24,0.01,1.02,2.1,1.81,0.11,3,0,1.12,0.19,2,2,2,10,10,10
Clutter,0.01,0.03,0.03,1.1,1.6,0.39,0,1,0,1.07,0.21,2,2,2,10,10,10
Clutter,0.02,0.01,1,1.2,0,0.14,0.25,1,0,10,10,0,0,0.5,0.1,0.28,1
Clutter,0.01,1.03,0.07,0.36,2,0.09,0.25,2,0,1.37,0.03,2,2,2,10,10,10
Clutter,0.01,0.38,0.01,0.32,1.8,0.19,0.09,1,0,1.14,0.53,2,2,2,10,10,10
Clutter,0.03,0.05,0,1,1.8,0.46,0,3,0,1.12,0.47,2,2,2,10,10,10
Clutter,0.02,0.62,0.03,0.64,2,10,0.12,4,0,1.46,0.52,2,2,2,10,10,10
Clutter,0.02,0.02,0.02,0.6,2,0.01,0.06,2,0,1.13,0.27,2,2,2,10,10,10
Clutter,0.03,0.01,0.01,0.6,1.7,2.8,0,2,0,1.12,0.38,2,2,2,10,10,10
Clutter,0.03,0.02,0,0.6,1.8,0.16,0.02,1,0,1.12,0.34,2,2,2,10,10,10
Clutter,0.02,1.27,0.13,1.04,1.5,0.1,0,3,0,1.96,0,2,2,2,10,10,10
Walls,0.03,0.05,0.02,0.41,2.3,1.36,0,3,0,1.1,0.01,2,2,2,10,10,10
Clutter,0.01,0,0,1.5,0.4,0.6,0,6,1,0.05,0.21,2,2,2,10,10,10
Clutter,0.01,0.02,0.01,1.2,0.6,2.72,0,5,1,0.05,0.01,2,2,2,10,10,10
Clutter,0.01,0.04,0,0.4,2,1.8,0.28,1,0,1.39,0.06,2,2,2,10,10,10
Clutter,0.02,0.02,0.01,0.6,2.2,2.11,0,2,0,1.18,0.01,2,2,2,10,10,10
Clutter,0.02,0.06,0.02,1,0.9,0.14,0.03,1,0,1.13,0.27,2,2,2,10,10,10
Clutter,0.02,0.28,0.96,1.8,0.2,1,0.9,5,0,10,10,1,0,1,0.85,1.18,0.83
Clutter,0.02,0.01,0.01,0.5,1.4,0,0,2,0,2.07,0.01,2,2,2,10,10,10
Clutter,0.02,0.05,0.05,1.5,0.5,0.29,0,5,1,0.05,0.03,2,2,2,10,10,10
Walls,0.02,0.01,0,1.2,1.9,0.01,0.12,1,1,0.46,0.06,2,2,2,10,10,10
Clutter,0.01,1.12,0.11,1.3,0.4,0.28,0.1,0,1,1.21,1.23,2,2,2,10,10,10
Clutter,0.02,0.35,0.94,1.78,0.3,0.83,0.14,1,0,10,10,0,1,0.5,0.67,1.1,0.78
Walls,0.02,0.01,1,2.12,0,0.15,0,3,0,10,10,1,0,1,0.11,0.25,0.78
Walls,0.02,0.16,0.16,2.1,0.4,0.1,0,2,0,0.51,0.88,2,2,2,10,10,10
Clutter,0.02,0.02,0.01,1.2,0.6,1.22,0,5,1,0.01,0.03,2,2,2,10,10,10
Clutter,0.01,0.52,0.22,0.85,1.4,0.48,0,3,0,0.81,0.22,2,2,2,10,10,10
Clutter,0.01,0.94,0.46,1.21,0.4,10,0,1,0,10,10,2,2,2,0.65,1.27,1
Clutter,0.01,0.26,0.97,1.8,0.2,1.1,0,4,0,10,10,0,1,1,0.46,0.77,0.86
Clutter,0.01,0.08,1,1.34,0.1,0.95,0.93,3,0,10,10,1,0,1,0.87,1.1,1
Clutter,0.02,0.37,0.29,0.81,2.3,1.4,0,2,0,0.78,0.2,2,2,2,10,10,10
Clutter,0.01,0.1,0,0.3,1.8,0.94,0.15,3,1,0.28,0.01,2,2,2,10,10,10
Walls,0.01,0.61,0,0.28,2.3,10,0.07,3,1,0.28,10,2,2,2,10,10,10
Clutter,0.02,0.02,0.01,1.2,0.7,0.55,0.32,2,0,1.39,0.29,2,2,2,10,10,10
Clutter,0.01,0.01,1,1.75,0,0.96,0.24,3,0,10,10,1,0,1,0.89,1.09,1
Clutter,0.02,0.63,0,0.28,3.1,10,0,3,0,0.63,0.39,2,2,2,10,10,10
Clutter,0.02,0.15,0.01,0.22,3,0.33,0.09,3,0,0.65,0.47,2,2,2,10,10,10
Walls,0.02,0.07,0.01,0.5,1.2,1.53,0,3,0,0.81,0.43,2,2,2,10,10,10
Walls,0.02,0.01,0.01,1.4,0.8,0.63,0,4,1,0.16,10,2,2,2,10,10,10
Clutter,0.01,0.02,0.02,0.6,1,1.2,0.04,2,0,1.11,0.26,2,2,2,10,10,10
Clutter,0.03,0.01,0.01,1.1,0.9,0.35,0.35,0,1,1.44,10,2,2,2,10,10,10
Clutter,0.02,0.16,0,1.12,2.1,0.53,0,3,0,1.09,0.07,2,2,2,10,10,10
Walls,0.01,0.02,0.02,1.3,0.6,0.63,0.44,1,0,0.85,0.5,2,2,2,10,10,10
Walls,0.01,0.03,0.03,1.2,0.8,0.1,0,2,1,1.41,10,2,2,2,10,10,10
Walls,0.02,0.52,0.01,0.36,1.7,4.06,0,2,1,0.56,0.18,2,2,2,10,10,10
Walls,0.02,0.44,0.02,0.45,2.1,0.01,0,2,1,0.22,0.46,2,2,2,10,10,10
Walls,0.01,0.06,0.01,0.6,1.1,0.06,0.06,2,1,0.43,0.89,2,2,2,10,10,10
Clutter,0.02,0.19,0.19,1.02,1,0.04,0,1,0,0.03,0.79,2,2,2,10,10,10
Clutter,0.02,0.14,0.02,0.61,2.1,0.98,0,2,0,1.09,0.07,2,2,2,10,10,10
Clutter,0.02,0.07,0.05,1,0.6,0.74,0.82,1,0,0.66,0.65,2,2,2,10,10,10
Clutter,0.02,0.42,0.01,0.85,1.6,0.73,0,3,0,1.57,0.05,2,2,2,10,10,10
